V1 V2
1 CG8484 DAC027F18
2 DNAprim DAC030O06
3 CG17064 DAC037O17
4 CG9938 DAC027P11
5 CG9475 DAC006J24
6 E2f DAC029A10
7 NetA DAC015D08
8 His2Av DAC021N15
9 CG14545 DAC013C04
10 CG5250 DAC006C06
11 CG9184 DAC024B08
12 E2f2 DAC005E03
13 Nf1 DAC008I09
14 CG9752 DAC007A08
15 CG13914 DAC016L15
16 CG15700 DAC012B08
17 CG4015 DAC036G11
18 Dp DAC041K03
19 dnk DAC003D10
20 HmgD DAC019K24
21 neb DAC025P12
22 CG14434 DAC025I24
23 spn-E DAC033A24
24 Rbf DAC036L16
25 mus209 DAC024B16
26 Mcm3 DAC038E22
27 CG12936 DAC037D12
28 CG9114 DAC037L09
29 CG14036 DAC029K19
30 Rbf2 DAC005F12
31 Df31 DAC024E15
32 CG6349 DAC018D24
33 CG7341 DAC015H03
34 CG3163 DAC004J23
35 NtR DAC010F24
36 CG4924 DAC016E15
37 CG15261 DAC007L11
38 CG2916 DAC004A02
39 vas DAC033O06
40 stg DAC029E11
41 CG11301 DAC032N12
42 CG7730 DAC020G05
43 CG6999 DAC039I02
44 CG10331 DAC036K22
45 glob1 DAC040P19
46 CG13350 DAC016H15
47 CG11177 DAC032F08
48 CG2543 DAC030J17
49 CG4623 DAC041G15
50 Klp67A DAC011G04
51 CG3183 DAC032O13
52 CG13745 DAC039H10
53 CG11329 DAC005I13
54 CG14039 DAC029K21
55 CycE DAC021D24
56 CG3430 DAC040G08
57 CG8447 DAC031L01
58 CG6845 DAC023I21
59 Mcm7 DAC023H10
60 RfC40 DAC024I08
61 CG13084 DAC013F19
62 CG6790 DAC023E15
63 Ts DAC032M15
64 Orc5 DAC020O23
65 CG8399 DAC008O11
66 CG2887 DAC021O05
67 RfC3 DAC006G06
68 CG3658 DAC040M04
69 CG8316 DAC008I05
70 CG7997 DAC012O09
71 FK506-bp1 DAC038F05
72 CG14549 DAC013C08
73 CG9427 DAC006F12
74 CG10307 DAC028M09
75 CG14729 DAC005O02
76 CG6768 DAC023C19
77 CG10833 DAC023I10
78 CG6968 DAC018E07
79 CG7003 DAC010P12
80 CG12767 DAC033N18
81 CG14283 DAC009P05
82 CG2990 DAC004E22
83 Arp53D DAC030O02
84 CG12819 DAC017P02
85 CG2213 DAC030F21
86 CG3505 DAC027C22
87 dup DAC019A23
88 CG14193 DAC009H23
89 CG7628 DAC031O08
90 ncd DAC020O19
91 CG9740 DAC027B01
92 CG3105 DAC029J19
93 Mcm2 DAC036P18
94 CG12165 DAC011A07
95 CG17142 DAC003E07
96 CG7530 DAC031E20
97 CG10336 DAC028O11
98 Mcm5 DAC022H09
99 SMC2 DAC012C02
100 CG4584 DAC041C11
101 CG4584 DAC041C13
102 CG11788 DAC028B09
103 HmgZ DAC019I12
104 CG17288 DAC028L04
105 CG6018 DAC005D23
106 CG17286 DAC014C06
107 Cap-G DAC034N23
108 Cap-G DAC032M10
109 Cap-G DAC004K19
110 CG5949 DAC007O21
111 CG14857 DAC028I18
112 CG5602 DAC009H02
113 CG7593 DAC031K16
114 Chd3 DAC040D17
115 Orc2 DAC020L15
116 Fen1 DAC036F01
117 Pvr DAC008A09
118 CG17498 DAC017N19
119 CG11258 DAC032J14
120 CG7108 DAC018K10
121 Ote DAC003P12
122 CG13690 DAC039D10
123 CG13434 DAC015E24
124 CG8142 DAC026L06
125 Caf1-180 DAC030N04
126 Rrp1 DAC031B19
127 RnrL DAC023P18
128 Orc6 DAC008N05
129 CG13345 DAC013K05
130 CG10489 DAC025L01
131 CG7670 DAC020A23
132 CG9576 DAC040B21
133 CG3961 DAC021H04
134 spel1 DAC038G16
135 nod DAC038G07
136 CG2669 DAC021E07
137 CG11744 DAC018N19
138 RecQ4 DAC031C02
139 Hrb87F DAC033L20
140 Bub1 DAC019B08
141 CG15500 DAC009G24
142 CG15500 DAC018I23
143 CG15500 DAC039I23
144 CG15500 DAC018K11
145 CG15500 DAC018K23
146 CG15500 DAC018I21
147 CG15500 DAC039I21
148 CG15500 DAC018K09
149 CG15500 DAC018K21
150 CG15500 DAC033G20
151 CG15500 DAC018K07
152 CG15500 DAC018K19
153 CG15500 DAC018K05
154 CG15500 DAC018K17
155 CG15500 DAC009I04
156 CG15500 DAC018K03
157 CG15500 DAC018K15
158 CG15500 DAC039K03
159 CG15500 DAC009I02
160 CG15500 DAC018K01
161 CG15500 DAC018K13
162 CG15500 DAC039K01
163 CG10712 DAC020C20
164 CG11943 DAC035P07
165 cdc2c DAC025L11
166 pav DAC033B16
167 CG6805 DAC023G07
168 CG1888 DAC015L10
169 Orc1 DAC020C04
170 Map60 DAC020N10
171 polo DAC011K15
172 CG6874 DAC023M05
173 CG9273 DAC011D09
174 Chrac-14 DAC016P20
175 Chrac-14 DAC016P18
176 Hel25E DAC017O17
177 CG11451 DAC033L15
178 Slbp DAC028D21
179 CG8289 DAC019G07
180 CG5923 DAC007M13
181 CG10522 DAC025N05
182 dap DAC038M07
183 sd DAC027L04
184 CG1558 DAC033E21
185 CG6743 DAC018H10
186 RnrS DAC035P12
